日時,気温_屋内,気温_屋外,湿度_屋内,湿度_屋外,露点温度_屋内,露点温度_屋外,体感温度_屋内,体感温度_屋外,気圧,1時間雨量,降雨時総雨量,1日総雨量,1週間総雨量,1か月総雨量,最終降雨日時,風向,風速,瞬間風速,最大瞬間風速,日照量
2021-05-10 22:40:00+09:00,24.8,19.5,54,54,14.8,9.9,24.7,19.5,1022.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,186,0.0,0.0,11.4,0.0
2021-05-10 22:35:00+09:00,24.8,19.5,54,54,14.8,9.9,24.7,19.5,1022.9,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,186,0.0,0.0,11.4,0.0
2021-05-10 22:30:00+09:00,24.8,19.5,54,55,14.8,10.2,24.7,19.5,1022.6,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,186,0.0,0.0,11.4,0.0
2021-05-10 22:25:00+09:00,24.8,19.6,54,55,14.8,10.3,24.7,19.6,1023.0,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,192,0.0,0.0,11.4,0.0
2021-05-10 22:20:00+09:00,24.7,19.6,54,54,14.8,10.0,24.7,19.6,1022.9,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,197,0.0,0.0,11.4,0.0
2021-05-10 22:15:00+09:00,24.7,19.6,54,55,14.8,10.3,24.7,19.6,1022.8,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,192,0.0,0.0,11.4,0.0
2021-05-10 22:10:00+09:00,24.6,19.8,54,55,14.7,10.5,24.6,19.8,1022.9,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,192,0.2,1.1,11.4,0.0
2021-05-10 22:05:00+09:00,24.6,19.8,54,54,14.7,10.2,24.6,19.8,1022.8,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,147,0.0,0.0,11.4,0.0
2021-05-10 22:00:00+09:00,24.5,19.7,53,55,14.3,10.4,24.4,19.7,1023.1,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,146,0.0,0.0,11.4,0.0
2021-05-10 21:55:00+09:00,24.5,19.7,52,55,14.0,10.4,24.4,19.7,1022.9,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,146,0.0,0.0,11.4,0.0
2021-05-10 21:50:00+09:00,24.4,19.6,52,55,13.9,10.3,24.2,19.6,1023.0,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,147,0.0,0.0,11.4,0.0
2021-05-10 21:45:00+09:00,24.3,19.8,51,55,13.5,10.5,24.1,19.8,1022.8,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,147,0.0,0.0,11.4,0.0
2021-05-10 21:40:00+09:00,24.5,20.0,51,54,13.7,10.4,24.3,20.0,1022.9,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,174,0.0,0.0,11.4,0.0
2021-05-10 21:35:00+09:00,24.4,20.1,51,55,13.6,10.8,24.2,19.6,1023.0,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,175,0.0,0.0,11.4,0.0
2021-05-10 21:30:00+09:00,24.4,20.1,51,54,13.6,10.5,24.2,19.6,1022.8,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,175,0.0,0.0,11.4,0.0
2021-05-10 21:25:00+09:00,24.3,20.1,50,54,13.2,10.5,24.1,19.6,1022.9,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,174,0.0,0.0,11.4,0.0
2021-05-10 21:20:00+09:00,24.2,20.2,50,53,13.1,10.3,24.0,19.7,1022.9,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,164,0.0,0.0,11.4,0.0
2021-05-10 21:15:00+09:00,24.1,20.2,50,54,13.0,10.6,23.9,19.7,1022.9,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,178,0.0,0.0,11.4,0.0
2021-05-10 21:10:00+09:00,24.0,20.2,50,53,12.9,10.3,23.8,19.7,1023.1,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,178,0.0,0.0,11.4,0.0
2021-05-10 21:05:00+09:00,23.8,20.2,50,54,12.7,10.6,23.5,19.7,1022.9,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,178,0.0,0.0,11.4,0.0
2021-05-10 21:00:00+09:00,23.4,20.1,50,53,12.4,10.2,23.1,19.6,1023.1,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,166,0.0,0.0,11.4,0.0
2021-05-10 20:55:00+09:00,22.7,20.2,48,53,11.1,10.3,22.3,19.7,1022.9,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,165,0.0,0.0,11.4,0.0
2021-05-10 20:50:00+09:00,22.8,20.1,49,53,11.5,10.2,22.4,19.6,1023.1,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,182,0.0,0.0,11.4,0.0
2021-05-10 20:45:00+09:00,22.7,20.1,49,53,11.4,10.2,22.3,19.6,1022.8,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,205,0.0,0.0,11.4,0.0
2021-05-10 20:40:00+09:00,22.9,20.1,47,52,10.9,9.9,22.4,19.5,1022.8,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,192,0.0,0.0,11.4,0.0
2021-05-10 20:35:00+09:00,23.6,20.2,46,51,11.3,9.8,23.2,19.6,1022.8,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,204,0.7,1.1,11.4,0.0
2021-05-10 20:30:00+09:00,24.3,20.2,48,51,12.6,9.8,24.0,19.6,1022.8,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,122,1.1,1.1,11.4,0.0
2021-05-10 20:25:00+09:00,24.2,20.3,48,51,12.5,9.8,23.9,19.7,1022.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,199,0.0,0.0,11.4,0.0
2021-05-10 20:20:00+09:00,24.2,20.3,48,51,12.5,9.8,23.9,19.7,1022.4,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,191,0.0,0.0,11.4,0.0
2021-05-10 20:15:00+09:00,24.1,20.3,48,50,12.4,9.5,23.8,19.7,1022.3,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,182,0.0,0.0,11.4,0.0
2021-05-10 20:10:00+09:00,24.1,20.2,48,52,12.4,10.0,23.8,19.7,1022.4,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,179,0.0,0.0,11.4,0.0
2021-05-10 20:05:00+09:00,24.0,20.3,48,52,12.3,10.1,23.7,19.7,1022.3,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,199,0.0,0.0,11.4,0.0
2021-05-10 20:00:00+09:00,23.9,20.4,48,51,12.2,9.9,23.6,19.8,1022.5,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,197,0.2,1.1,11.4,0.0
2021-05-10 19:55:00+09:00,24.0,20.4,49,52,12.6,10.2,23.7,19.8,1022.5,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,180,0.0,0.0,11.4,0.0
2021-05-10 19:50:00+09:00,23.7,20.4,49,51,12.4,9.9,23.4,19.8,1022.5,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,199,0.0,0.0,11.4,0.0
2021-05-10 19:45:00+09:00,24.1,20.4,49,50,12.7,9.6,23.8,19.8,1022.5,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,172,0.0,0.0,11.4,0.0
2021-05-10 19:40:00+09:00,24.0,20.3,49,51,12.6,9.8,23.7,19.7,1022.2,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,179,0.0,0.0,11.4,0.0
2021-05-10 19:35:00+09:00,23.9,20.3,49,51,12.5,9.8,23.6,19.7,1022.1,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,198,0.0,0.0,11.4,0.0
2021-05-10 19:30:00+09:00,23.6,20.3,49,50,12.3,9.5,23.3,19.7,1021.9,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,193,0.0,0.0,11.4,0.0
2021-05-10 19:25:00+09:00,23.3,20.3,49,50,11.9,9.5,22.9,19.7,1021.9,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,190,0.0,0.0,11.4,0.0
2021-05-10 19:20:00+09:00,22.8,20.4,48,50,11.2,9.6,22.4,19.8,1021.6,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,206,2.7,3.4,11.4,0.0
2021-05-10 19:15:00+09:00,22.5,20.3,45,50,9.9,9.5,22.0,19.7,1021.5,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,199,0.0,0.0,11.4,0.0
2021-05-10 19:10:00+09:00,22.7,20.4,46,49,10.5,9.3,22.3,19.8,1021.6,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,203,0.7,1.1,11.4,0.0
2021-05-10 19:05:00+09:00,22.8,20.5,46,49,10.6,9.4,22.3,19.9,1021.5,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,193,0.0,0.0,11.4,0.0
2021-05-10 19:00:00+09:00,22.8,20.4,46,49,10.6,9.3,22.3,19.8,1021.4,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,160,0.0,0.0,11.4,0.0
2021-05-10 18:55:00+09:00,22.9,20.4,46,49,10.7,9.3,22.4,19.8,1021.5,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,197,2.5,3.4,11.4,0.0
2021-05-10 18:50:00+09:00,23.0,20.5,45,49,10.4,9.4,22.6,19.9,1021.4,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,191,0.0,0.0,11.4,0.0
2021-05-10 18:45:00+09:00,23.6,20.6,46,50,11.3,9.8,23.2,20.0,1021.6,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,194,1.1,2.2,11.4,0.0
2021-05-10 18:40:00+09:00,24.6,20.7,48,49,12.8,9.6,24.4,20.1,1021.8,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,192,0.2,1.1,11.4,0.0
2021-05-10 18:35:00+09:00,24.9,20.8,51,48,14.1,9.4,24.8,20.2,1021.3,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,190,0.2,1.1,11.4,0.0
2021-05-10 18:30:00+09:00,25.0,20.9,51,48,14.2,9.5,24.9,20.3,1021.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,166,0.0,0.0,11.4,1.71
2021-05-10 18:25:00+09:00,25.3,21.0,54,47,15.3,9.3,25.3,20.4,1021.6,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,197,0.0,0.0,11.4,3.43
2021-05-10 18:20:00+09:00,25.3,21.0,54,45,15.3,8.6,25.3,20.3,1021.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,185,0.0,0.0,11.4,5.14
2021-05-10 18:15:00+09:00,25.3,21.1,53,44,15.0,8.4,25.2,20.4,1021.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,182,0.7,1.1,11.4,7.7
2021-05-10 18:10:00+09:00,25.3,21.1,52,44,14.7,8.4,25.2,20.4,1021.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,221,0.4,1.1,11.4,10.77
2021-05-10 18:05:00+09:00,25.3,21.2,52,43,14.7,8.1,25.2,20.5,1021.3,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,195,0.7,1.1,11.4,15.17
2021-05-10 18:00:00+09:00,25.3,21.3,52,44,14.7,8.5,25.2,20.6,1021.3,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,197,0.9,1.1,11.4,20.8
2021-05-10 17:55:00+09:00,25.3,21.4,52,44,14.7,8.6,25.2,20.7,1021.2,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,84,1.6,2.2,11.4,28.14
2021-05-10 17:50:00+09:00,25.3,21.5,52,44,14.7,8.7,25.2,20.9,1021.2,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,262,3.4,4.5,11.4,31.56
2021-05-10 17:45:00+09:00,25.3,21.8,51,43,14.4,8.6,25.2,21.1,1021.5,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,298,2.7,4.5,11.4,39.02
2021-05-10 17:40:00+09:00,25.3,21.9,51,43,14.4,8.7,25.2,21.3,1021.1,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,49,0.4,1.1,11.4,48.56
2021-05-10 17:35:00+09:00,25.3,22.0,51,43,14.4,8.8,25.2,21.4,1021.2,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,187,0.9,1.1,11.4,55.41
2021-05-10 17:30:00+09:00,25.4,22.4,50,43,14.2,9.2,25.3,21.8,1020.9,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,212,2.0,4.5,11.4,62.39
2021-05-10 17:25:00+09:00,25.4,22.4,50,42,14.2,8.8,25.3,21.8,1021.1,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,186,1.8,2.2,11.4,86.24
2021-05-10 17:20:00+09:00,25.4,22.3,49,43,13.9,9.1,25.3,21.7,1021.1,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,205,2.0,3.4,11.4,80.62
2021-05-10 17:15:00+09:00,25.4,22.8,49,43,13.9,9.5,25.3,22.2,1021.1,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,222,0.0,0.0,11.4,62.02
2021-05-10 17:10:00+09:00,25.4,22.9,48,43,13.6,9.6,25.2,22.4,1021.1,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,176,0.0,0.0,11.4,81.1
2021-05-10 17:05:00+09:00,25.4,23.1,48,43,13.6,9.8,25.2,22.6,1021.1,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,199,0.4,1.1,11.4,64.1
2021-05-10 17:00:00+09:00,25.4,23.6,47,41,13.2,9.6,25.2,23.1,1020.9,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,141,1.3,2.2,11.4,71.07
2021-05-10 16:55:00+09:00,25.4,24.0,46,39,12.9,9.2,25.2,23.5,1020.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,189,2.0,3.4,11.4,160.51
2021-05-10 16:50:00+09:00,25.4,23.8,46,40,12.9,9.4,25.2,23.3,1020.6,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,279,1.1,1.1,11.4,185.58
2021-05-10 16:45:00+09:00,25.5,24.1,45,39,12.7,9.3,25.3,23.6,1020.8,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,206,0.4,1.1,11.4,215.07
2021-05-10 16:40:00+09:00,25.5,24.2,44,39,12.3,9.4,25.3,23.7,1020.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,165,1.1,1.1,11.4,226.81
2021-05-10 16:35:00+09:00,25.5,24.7,43,38,12.0,9.4,25.2,24.2,1020.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,179,2.2,3.4,11.4,232.93
2021-05-10 16:30:00+09:00,25.6,24.7,42,38,11.7,9.4,25.3,24.2,1020.5,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,232,3.4,4.5,11.4,257.64
2021-05-10 16:25:00+09:00,25.6,24.5,42,39,11.7,9.6,25.3,24.0,1020.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,221,0.9,1.1,11.4,274.52
2021-05-10 16:20:00+09:00,25.5,24.3,42,39,11.6,9.4,25.2,23.8,1020.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,127,0.9,1.1,11.4,292.38
2021-05-10 16:15:00+09:00,25.5,24.6,42,38,11.6,9.3,25.2,24.1,1020.5,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,208,0.4,1.1,11.4,304.86
2021-05-10 16:10:00+09:00,25.5,24.8,42,38,11.6,9.5,25.2,24.3,1020.6,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,216,1.1,1.1,11.4,314.03
2021-05-10 16:05:00+09:00,25.5,24.9,41,38,11.3,9.6,25.2,24.4,1020.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,82,2.2,3.4,11.4,327.49
2021-05-10 16:00:00+09:00,25.5,24.7,41,39,11.3,9.8,25.2,24.3,1020.5,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,211,4.7,6.9,11.4,339.61
2021-05-10 15:55:00+09:00,25.4,24.9,41,38,11.2,9.6,25.1,24.4,1020.8,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,180,1.3,3.4,11.4,356.49
2021-05-10 15:50:00+09:00,25.4,24.8,41,38,11.2,9.5,25.1,24.3,1020.4,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,206,1.8,3.4,11.4,370.8
2021-05-10 15:45:00+09:00,25.4,25.2,41,37,11.2,9.5,25.1,24.8,1020.5,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,27,0.7,2.2,11.4,390.37
2021-05-10 15:40:00+09:00,25.4,25.1,41,37,11.2,9.4,25.1,24.6,1020.6,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,213,0.9,1.1,11.4,403.34
2021-05-10 15:35:00+09:00,25.4,24.9,41,37,11.2,9.2,25.1,24.4,1020.8,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,181,0.2,1.1,11.4,419.49
2021-05-10 15:30:00+09:00,25.4,24.8,40,36,10.8,8.7,25.0,24.3,1020.5,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,109,1.8,2.2,11.4,437.72
2021-05-10 15:25:00+09:00,25.3,24.7,40,37,10.7,9.0,24.9,24.2,1020.6,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,208,1.3,2.2,11.4,452.89
2021-05-10 15:20:00+09:00,25.3,24.4,40,38,10.7,9.1,24.9,23.9,1020.4,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,298,2.2,3.4,11.4,451.54
2021-05-10 15:15:00+09:00,25.3,24.8,40,37,10.7,9.1,24.9,24.3,1020.6,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,181,2.5,3.4,11.4,471.48
2021-05-10 15:10:00+09:00,25.3,25.0,40,36,10.7,8.9,24.9,24.5,1020.6,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,148,0.7,1.1,11.4,490.57
2021-05-10 15:05:00+09:00,25.3,24.8,40,37,10.7,9.1,24.9,24.3,1020.6,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,197,2.0,3.4,11.4,511.37
2021-05-10 15:00:00+09:00,25.3,24.6,40,37,10.7,8.9,24.9,24.1,1020.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,217,2.2,3.4,11.4,529.23
2021-05-10 14:55:00+09:00,25.2,25.5,40,35,10.7,8.9,24.8,25.0,1020.9,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,266,4.0,8.1,11.4,535.22
2021-05-10 14:50:00+09:00,25.2,25.7,40,34,10.7,8.7,24.8,25.2,1020.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,105,0.7,1.1,11.4,555.65
2021-05-10 14:45:00+09:00,25.2,25.4,39,34,10.3,8.4,24.8,24.9,1020.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,214,2.0,3.4,11.4,568.25
2021-05-10 14:40:00+09:00,25.2,25.9,39,34,10.3,8.8,24.8,25.4,1020.5,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,236,0.7,1.1,11.4,561.28
2021-05-10 14:35:00+09:00,25.2,25.7,39,34,10.3,8.7,24.8,25.2,1020.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,223,0.7,1.1,11.4,557.36
2021-05-10 14:30:00+09:00,25.2,25.2,39,34,10.3,8.2,24.8,24.7,1020.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,191,1.8,2.2,11.4,584.28
2021-05-10 14:25:00+09:00,25.2,25.3,38,34,9.9,8.3,24.8,24.8,1020.8,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,148,1.6,2.2,11.4,583.91
2021-05-10 14:20:00+09:00,25.2,25.0,38,34,9.9,8.0,24.8,24.4,1020.6,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,199,2.2,3.4,11.4,614.25
2021-05-10 14:15:00+09:00,25.1,26.0,38,34,9.8,8.9,24.7,25.5,1020.7,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,196,1.8,3.4,11.4,600.3
2021-05-10 14:10:00+09:00,25.1,25.5,38,33,9.8,8.0,24.7,25.0,1020.4,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,124,0.7,1.1,11.4,610.33
2021-05-10 14:05:00+09:00,25.1,25.2,38,33,9.8,7.8,24.7,24.7,1020.4,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,160,0.9,1.1,11.4,630.28
2021-05-10 14:00:00+09:00,25.1,25.0,38,33,9.8,7.6,24.7,24.4,1020.2,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,191,2.5,4.5,11.4,595.16
2021-05-10 13:55:00+09:00,25.1,25.3,38,33,9.8,7.8,24.7,24.7,1020.3,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,63,1.3,2.2,11.4,665.02
2021-05-10 13:50:00+09:00,25.1,26.4,37,31,9.4,7.9,24.7,25.9,1020.1,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,202,0.7,1.1,11.4,684.1
2021-05-10 13:45:00+09:00,25.1,26.4,37,30,9.4,7.4,24.7,25.9,1020.4,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,207,1.3,3.4,11.4,697.56
2021-05-10 13:40:00+09:00,25.0,26.5,37,29,9.3,7.0,24.5,26.0,1020.6,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,145,0.0,0.0,11.4,708.82
2021-05-10 13:35:00+09:00,25.1,26.0,37,30,9.4,7.1,24.7,25.4,1020.1,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,202,0.2,1.1,11.4,726.55
2021-05-10 13:30:00+09:00,25.1,25.2,37,31,9.4,6.9,24.7,24.6,1020.3,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,180,1.3,2.2,11.4,403.34
2021-05-10 13:25:00+09:00,25.1,25.3,37,30,9.4,6.4,24.7,24.6,1020.2,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,196,1.1,1.1,11.4,238.56
2021-05-10 13:20:00+09:00,25.0,25.4,37,29,9.3,6.1,24.5,24.7,1020.3,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,186,0.9,1.1,11.4,218.61
2021-05-10 13:15:00+09:00,25.1,24.7,37,30,9.4,6.0,24.7,24.0,1020.4,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,158,0.4,1.1,11.4,706.24
2021-05-10 13:10:00+09:00,25.0,24.7,37,31,9.3,6.4,24.5,24.1,1020.1,0.0,0.0,0.0,0.0,20.3,2021-05-07 21:38:00+09:00,172,0.2,1.1,11.4,191.7
