dateutc,tempinf,humidityin,baromrelin,baromabsin,tempf,battout,humidity,winddir,windspeedmph,windgustmph,maxdailygust,hourlyrainin,eventrainin,dailyrainin,weeklyrainin,monthlyrainin,totalrainin,solarradiation,uv,batt_co2,feelsLike,dewPoint,feelsLikein,dewPointin,lastRain,loc,date
1620649200000,75.6,50,30.207,29.82,68.4,1,53,164,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.43,50.59,75.2,55.6,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T12:20:00.000Z
1620648900000,75.4,50,30.207,29.82,68.4,1,54,178,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.48,51.1,75.0,55.4,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T12:15:00.000Z
1620648600000,75.2,50,30.213,29.826,68.4,1,53,178,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.43,50.59,74.8,55.3,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T12:10:00.000Z
1620648300000,74.8,50,30.207,29.82,68.4,1,54,178,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.48,51.1,74.3,54.9,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T12:05:00.000Z
1620648000000,74.1,50,30.213,29.826,68.2,1,53,166,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.21,50.41,73.6,54.3,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T12:00:00.000Z
1620647700000,72.9,48,30.207,29.82,68.4,1,53,165,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.43,50.59,72.1,52.0,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T11:55:00.000Z
1620647400000,73.0,49,30.213,29.826,68.2,1,53,182,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.21,50.41,72.3,52.7,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T11:50:00.000Z
1620647100000,72.9,49,30.204,29.817,68.2,1,53,205,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.21,50.41,72.2,52.6,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T11:45:00.000Z
1620646800000,73.2,47,30.204,29.817,68.2,1,52,192,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.16,49.89,72.4,51.7,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T11:40:00.000Z
1620646500000,74.5,46,30.204,29.817,68.4,1,51,204,0.7,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.34,49.56,73.8,52.3,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T11:35:00.000Z
1620646200000,75.7,48,30.204,29.817,68.4,1,51,122,1.1,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.34,49.56,75.2,54.6,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T11:30:00.000Z
1620645900000,75.6,48,30.201,29.814,68.5,1,51,199,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.45,49.65,75.1,54.5,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T11:25:00.000Z
1620645600000,75.6,48,30.192,29.805,68.5,1,51,191,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.45,49.65,75.1,54.5,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T11:20:00.000Z
1620645300000,75.4,48,30.189,29.802,68.5,1,50,182,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.4,49.12,74.9,54.3,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T11:15:00.000Z
1620645000000,75.4,48,30.192,29.805,68.4,1,52,179,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.38,50.08,74.9,54.3,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T11:10:00.000Z
1620644700000,75.2,48,30.189,29.802,68.5,1,52,199,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.49,50.17,74.7,54.1,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T11:05:00.000Z
1620644400000,75.0,48,30.195,29.808,68.7,1,51,197,0.2,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.67,49.83,74.5,54.0,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T11:00:00.000Z
1620644100000,75.2,49,30.195,29.808,68.7,1,52,180,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.71,50.35,74.7,54.7,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T10:55:00.000Z
1620643800000,74.7,49,30.195,29.808,68.7,1,51,199,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.67,49.83,74.2,54.3,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T10:50:00.000Z
1620643500000,75.4,49,30.195,29.808,68.7,1,50,172,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.62,49.3,74.9,54.9,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T10:45:00.000Z
1620643200000,75.2,49,30.186,29.799,68.5,1,51,179,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.45,49.65,74.7,54.7,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T10:40:00.000Z
1620642900000,75.0,49,30.183,29.797,68.5,1,51,198,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.45,49.65,74.5,54.5,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T10:35:00.000Z
1620642600000,74.5,49,30.177,29.791,68.5,1,50,193,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.4,49.12,74.0,54.1,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T10:30:00.000Z
1620642300000,73.9,49,30.177,29.791,68.5,1,50,190,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.4,49.12,73.3,53.5,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T10:25:00.000Z
1620642000000,73.0,48,30.169,29.782,68.7,1,50,206,2.7,3.4,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.62,49.3,72.3,52.1,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T10:20:00.000Z
1620641700000,72.5,45,30.166,29.779,68.5,1,50,199,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.4,49.12,71.6,49.9,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T10:15:00.000Z
1620641400000,72.9,46,30.169,29.782,68.7,1,49,203,0.7,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.57,48.76,72.1,50.9,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T10:10:00.000Z
1620641100000,73.0,46,30.166,29.779,68.9,1,49,193,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.79,48.94,72.2,51.0,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T10:05:00.000Z
1620640800000,73.0,46,30.163,29.776,68.7,1,49,160,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.57,48.76,72.2,51.0,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T10:00:00.000Z
1620640500000,73.2,46,30.166,29.779,68.7,1,49,197,2.5,3.4,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.57,48.76,72.4,51.2,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T09:55:00.000Z
1620640200000,73.4,45,30.163,29.776,68.9,1,49,191,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,67.79,48.94,72.6,50.8,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T09:50:00.000Z
1620639900000,74.5,46,30.169,29.782,69.1,1,50,194,1.1,2.2,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,68.06,49.67,73.8,52.3,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T09:45:00.000Z
1620639600000,76.3,48,30.175,29.788,69.3,1,49,192,0.2,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,68.23,49.31,75.9,55.1,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T09:40:00.000Z
1620639300000,76.8,51,30.16,29.773,69.4,1,48,190,0.2,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,0.0,0,1,68.3,48.85,76.6,57.3,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T09:35:00.000Z
1620639000000,77.0,51,30.172,29.785,69.6,1,48,166,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,1.71,0,1,68.52,49.03,76.8,57.5,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T09:30:00.000Z
1620638700000,77.5,54,30.169,29.782,69.8,1,47,197,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,3.43,0,1,68.69,48.65,77.5,59.5,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T09:25:00.000Z
1620638400000,77.5,54,30.172,29.785,69.8,1,45,185,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,5.14,0,1,68.59,47.49,77.5,59.5,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T09:20:00.000Z
1620638100000,77.5,53,30.172,29.785,70.0,1,44,182,0.7,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,7.7,0,1,68.77,47.07,77.4,59.0,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T09:15:00.000Z
1620637800000,77.5,52,30.172,29.785,70.0,1,44,221,0.4,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,10.77,0,1,68.77,47.07,77.4,58.5,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T09:10:00.000Z
1620637500000,77.5,52,30.16,29.773,70.2,1,43,195,0.7,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,15.17,0,1,68.94,46.64,77.4,58.5,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T09:05:00.000Z
1620637200000,77.5,52,30.16,29.773,70.3,1,44,197,0.9,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,20.8,0,1,69.1,47.34,77.4,58.5,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T09:00:00.000Z
1620636900000,77.5,52,30.157,29.77,70.5,1,44,84,1.6,2.2,11.4,0.0,0.0,0.0,0.0,0.799,6.039,28.14,0,1,69.32,47.53,77.4,58.5,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T08:55:00.000Z
1620636600000,77.5,52,30.157,29.77,70.7,1,44,262,3.4,4.5,11.4,0.0,0.0,0.0,0.0,0.799,6.039,31.56,0,1,69.54,47.71,77.4,58.5,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T08:50:00.000Z
1620636300000,77.5,51,30.166,29.779,71.2,1,43,298,2.7,4.5,11.4,0.0,0.0,0.0,0.0,0.799,6.039,39.02,0,1,70.04,47.55,77.3,57.9,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T08:45:00.000Z
1620636000000,77.5,51,30.154,29.767,71.4,1,43,49,0.4,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,48.56,0,1,70.26,47.73,77.3,57.9,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T08:40:00.000Z
1620635700000,77.5,51,30.157,29.77,71.6,1,43,187,0.9,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,55.41,0,1,70.48,47.91,77.3,57.9,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T08:35:00.000Z
1620635400000,77.7,50,30.148,29.761,72.3,1,43,212,2.0,4.5,11.4,0.0,0.0,0.0,0.0,0.799,6.039,62.39,0,1,71.25,48.54,77.5,57.6,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T08:30:00.000Z
1620635100000,77.7,50,30.154,29.767,72.3,1,42,186,1.8,2.2,11.4,0.0,0.0,0.0,0.0,0.799,6.039,86.24,0,1,71.2,47.91,77.5,57.6,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T08:25:00.000Z
1620634800000,77.7,49,30.154,29.767,72.1,1,43,205,2.0,3.4,11.4,0.0,0.0,0.0,0.0,0.799,6.039,80.62,0,1,71.03,48.36,77.5,57.0,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T08:20:00.000Z
1620634500000,77.7,49,30.154,29.767,73.0,1,43,222,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,62.02,0,1,72.02,49.17,77.5,57.0,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T08:15:00.000Z
1620634200000,77.7,48,30.154,29.767,73.2,1,43,176,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.799,6.039,81.1,0,1,72.24,49.35,77.4,56.4,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T08:10:00.000Z
1620633900000,77.7,48,30.154,29.767,73.6,1,43,199,0.4,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,64.1,0,1,72.68,49.71,77.4,56.4,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T08:05:00.000Z
1620633600000,77.7,47,30.148,29.761,74.5,1,41,141,1.3,2.2,11.4,0.0,0.0,0.0,0.0,0.799,6.039,71.07,0,1,73.58,49.24,77.4,55.8,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T08:00:00.000Z
1620633300000,77.7,46,30.142,29.755,75.2,1,39,189,2.0,3.4,11.4,0.0,0.0,0.0,0.0,0.799,6.039,160.51,1,1,74.25,48.52,77.3,55.2,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T07:55:00.000Z
1620633000000,77.7,46,30.139,29.752,74.8,1,40,279,1.1,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,185.58,1,1,73.86,48.85,77.3,55.2,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T07:50:00.000Z
1620632700000,77.9,45,30.145,29.758,75.4,1,39,206,0.4,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,215.07,2,1,74.47,48.7,77.5,54.8,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T07:45:00.000Z
1620632400000,77.9,44,30.142,29.755,75.6,1,39,165,1.1,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,226.81,2,1,74.69,48.88,77.5,54.2,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T07:40:00.000Z
1620632100000,77.9,43,30.142,29.755,76.5,1,38,179,2.2,3.4,11.4,0.0,0.0,0.0,0.0,0.799,6.039,232.93,2,1,75.64,48.98,77.4,53.6,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T07:35:00.000Z
1620631800000,78.1,42,30.136,29.749,76.5,1,38,232,3.4,4.5,11.4,0.0,0.0,0.0,0.0,0.799,6.039,257.64,2,1,75.64,48.98,77.6,53.1,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T07:30:00.000Z
1620631500000,78.1,42,30.142,29.755,76.1,1,39,221,0.9,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,274.52,2,1,75.24,49.33,77.6,53.1,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T07:25:00.000Z
1620631200000,77.9,42,30.142,29.755,75.7,1,39,127,0.9,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,292.38,2,1,74.8,48.97,77.4,52.9,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T07:20:00.000Z
1620630900000,77.9,42,30.136,29.749,76.3,1,38,208,0.4,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,304.86,2,1,75.42,48.81,77.4,52.9,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T07:15:00.000Z
1620630600000,77.9,42,30.139,29.752,76.6,1,38,216,1.1,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,314.03,3,1,75.75,49.07,77.4,52.9,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T07:10:00.000Z
1620630300000,77.9,41,30.142,29.755,76.8,1,38,82,2.2,3.4,11.4,0.0,0.0,0.0,0.0,0.799,6.039,327.49,3,1,75.97,49.25,77.3,52.3,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T07:05:00.000Z
1620630000000,77.9,41,30.136,29.749,76.5,1,39,211,4.7,6.9,11.4,0.0,0.0,0.0,0.0,0.799,6.039,339.61,3,1,75.68,49.68,77.3,52.3,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T07:00:00.000Z
1620629700000,77.7,41,30.145,29.758,76.8,1,38,180,1.3,3.4,11.4,0.0,0.0,0.0,0.0,0.799,6.039,356.49,3,1,75.97,49.25,77.1,52.1,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T06:55:00.000Z
1620629400000,77.7,41,30.133,29.746,76.6,1,38,206,1.8,3.4,11.4,0.0,0.0,0.0,0.0,0.799,6.039,370.8,3,1,75.75,49.07,77.1,52.1,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T06:50:00.000Z
1620629100000,77.7,41,30.136,29.749,77.4,1,37,27,0.7,2.2,11.4,0.0,0.0,0.0,0.0,0.799,6.039,390.37,3,1,76.58,49.07,77.1,52.1,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T06:45:00.000Z
1620628800000,77.7,41,30.139,29.752,77.2,1,37,213,0.9,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,403.34,3,1,76.36,48.89,77.1,52.1,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T06:40:00.000Z
1620628500000,77.7,41,30.145,29.758,76.8,1,37,181,0.2,1.1,11.4,0.0,0.0,0.0,0.0,0.799,6.039,419.49,4,1,75.92,48.54,77.1,52.1,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T06:35:00.000Z
1620628200000,77.7,40,30.136,29.749,76.6,1,36,109,1.8,2.2,11.4,0.0,0.0,0.0,0.0,0.799,6.039,437.72,4,1,75.65,47.63,77.0,51.4,2021-05-07T12:38:00.000Z,ambient-prod-19,2021-05-10T06:30:00.000Z
